Week,Полив,Подкормка,Обработка от вредителей,Обрезка/формирование куста,Прополка,Мульчирование почвы,Пересадка в открытый грунт,Подготовка к зимнему покою,Примечания
34,"еженедельно, по влажности субстрата",,"профилактическая обработка, при превышении порога вредителя — повтор",,прополка и рыхление верхнего слоя субстрата,,,,Месяц: Август. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
35,"еженедельно, по влажности субстрата",,,,прополка и рыхление верхнего слоя субстрата,,,,Месяц: Август. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
36,"еженедельно, по влажности субстрата",,,,прополка и рыхление верхнего слоя субстрата,,окно для пересадки достигших 5 лет или 1 м высоты видов в ОГ,,Месяц: Сентябрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
37,"еженедельно, по влажности субстрата",,,,прополка и рыхление верхнего слоя субстрата,,окно для пересадки достигших 5 лет или 1 м высоты видов в ОГ,,Месяц: Сентябрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
38,"еженедельно, по влажности субстрата",,,,прополка и рыхление верхнего слоя субстрата,,окно для пересадки достигших 5 лет или 1 м высоты видов в ОГ,,Месяц: Сентябрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
39,"еженедельно, по влажности субстрата",,,,прополка и рыхление верхнего слоя субстрата,,окно для пересадки достигших 5 лет или 1 м высоты видов в ОГ,,Месяц: Сентябрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
40,"еженедельно, по влажности субстрата",,,,прополка и рыхление верхнего слоя субстрата,"осеннее мульчирование корневой зоны, усиление слоя к зиме",,"укрытие по видам (листв. опад, агроволокно, снег), обрезка отплодоносивших побегов",Месяц: Октябрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
41,"еженедельно, по влажности субстрата",,,,прополка и рыхление верхнего слоя субстрата,"осеннее мульчирование корневой зоны, усиление слоя к зиме",,"укрытие по видам (листв. опад, агроволокно, снег), обрезка отплодоносивших побегов",Месяц: Октябрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
42,"еженедельно, по влажности субстрата",,,,прополка и рыхление верхнего слоя субстрата,"осеннее мульчирование корневой зоны, усиление слоя к зиме",,"укрытие по видам (листв. опад, агроволокно, снег), обрезка отплодоносивших побегов",Месяц: Октябрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
43,"еженедельно, по влажности субстрата",,,,прополка и рыхление верхнего слоя субстрата,"осеннее мульчирование корневой зоны, усиление слоя к зиме",,"укрытие по видам (листв. опад, агроволокно, снег), обрезка отплодоносивших побегов",Месяц: Октябрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
44,"редко, по влажности субстрата и t воздуха",,,,,"осеннее мульчирование корневой зоны, усиление слоя к зиме",,"укрытие по видам (листв. опад, агроволокно, снег), обрезка отплодоносивших побегов",Месяц: Ноябрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
45,"редко, по влажности субстрата и t воздуха",,,,,"осеннее мульчирование корневой зоны, усиление слоя к зиме",,"укрытие по видам (листв. опад, агроволокно, снег), обрезка отплодоносивших побегов",Месяц: Ноябрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
46,"редко, по влажности субстрата и t воздуха",,,,,"осеннее мульчирование корневой зоны, усиление слоя к зиме",,"укрытие по видам (листв. опад, агроволокно, снег), обрезка отплодоносивших побегов",Месяц: Ноябрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
47,"редко, по влажности субстрата и t воздуха",,,,,"осеннее мульчирование корневой зоны, усиление слоя к зиме",,"укрытие по видам (листв. опад, агроволокно, снег), обрезка отплодоносивших побегов",Месяц: Ноябрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
48,"редко, по влажности субстрата и t воздуха",,,,,"осеннее мульчирование корневой зоны, усиление слоя к зиме",,"укрытие по видам (листв. опад, агроволокно, снег), обрезка отплодоносивших побегов",Месяц: Ноябрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
49,"редко, по влажности субстрата и t воздуха",,,,,,,,Месяц: Декабрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
50,"редко, по влажности субстрата и t воздуха",,,,,,,,Месяц: Декабрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
51,"редко, по влажности субстрата и t воздуха",,,,,,,,Месяц: Декабрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
52,"редко, по влажности субстрата и t воздуха",,,,,,,,Месяц: Декабрь. Учитывать фактическую t и влажность воздуха/субстрата. Корректировать частоту полива и проветривание теплицы.
